label,area,x,y,x_min,y_min,x_max,y_max,major_length,minor_length,eccentricity,solidity,mean_intensity,max_intensity,match_category,matched_label,match_distance,area_ratio,area_warning
1,88.0,104.8409090909091,3.5568181818181817,96,0,115,10,22.45932093108598,7.047534766830869,0.9494920498041128,0.6821705426356589,18622.204545454544,30644.0,shared,1.0,1.9849103669867996,1.602272727090651,False
2,119.0,250.7310924369748,13.521008403361344,246,6,256,22,15.871304200020022,9.712498076509299,0.7908938450269054,0.9153846153846154,21807.10924369748,52579.0,shared,2.0,1.9613081726478814,1.1848739494802627,False
3,35.0,44.885714285714286,11.685714285714285,42,9,49,16,7.387611504202505,6.036042454114514,0.5765678795137296,0.9210526315789473,14267.742857142857,18034.0,shared,3.0,2.466385090573545,1.8857142851755102,False
4,38.0,62.078947368421055,16.68421052631579,59,14,66,21,8.382440854210353,5.734239245976515,0.7294093252678733,0.9743589743589743,14915.263157894737,19911.0,shared,4.0,1.855918389228808,1.289473683871191,False
5,40.0,317.925,34.025,315,31,322,38,7.905913594891791,6.371540648077604,0.5920232889294219,0.975609756097561,15566.275,20597.0,shared,5.0,2.7460959762344492,1.72499999956875,False
6,48.0,93.72916666666667,44.645833333333336,90,41,98,49,8.097074899766898,7.566823806063501,0.35592833488707426,0.8888888888888888,14855.979166666666,25367.0,shared,6.0,2.265015060543086,1.3958333330425348,False
7,21.0,332.04761904761904,46.0,329,44,336,49,7.954583939454973,3.480931570657215,0.8991694053947986,0.8076923076923077,13772.857142857143,14396.0,488_only,,,,False
8,32.0,422.40625,88.4375,420,85,426,92,6.762592566248239,6.005349014247553,0.459795813519748,0.9411764705882353,12782.4375,19900.0,shared,8.0,2.0066407686738086,2.8749999991015622,False
9,51.0,250.2156862745098,97.82352941176471,247,94,255,103,8.740997271704384,7.441234812771959,0.5246748204948823,0.9107142857142857,17338.313725490196,31517.0,shared,9.0,2.5373603422857083,1.5882352938062283,False
10,55.0,108.27272727272727,116.36363636363636,105,111,113,122,10.688812303374707,7.050973953432666,0.7515648130480458,0.8461538461538461,15985.254545454545,18906.0,488_only,,,,False
