label,area,x,y,x_min,y_min,x_max,y_max,major_length,minor_length,eccentricity,solidity,mean_intensity,max_intensity,match_category,matched_label,match_distance,area_ratio,area_warning
11,19.0,88.3157894736842,121.47368421052632,86,119,91,125,5.266234058857724,4.67097691866734,0.4618324071936475,0.8636363636363636,14378.21052631579,15278.0,488_only,,,,False
12,157.0,272.8789808917197,140.36305732484075,267,131,279,151,20.83919602101523,10.174084617384663,0.87272133457398,0.8820224719101124,25662.343949044585,64315.0,488_only,,,,False
13,29.0,289.8965517241379,137.17241379310346,288,134,293,141,7.1035367129159495,5.112171406486838,0.6943207788666134,1.0,18584.758620689656,25905.0,shared,11.0,2.0448456125273924,1.7241379304399524,False
14,44.0,379.9318181818182,142.3181818181818,378,138,383,148,10.413395877048787,5.330330756837217,0.8590614447108073,1.0,11025.295454545454,12891.0,488_only,,,,False
15,43.0,49.627906976744185,146.32558139534885,46,143,54,150,8.34045825485357,6.528282771725787,0.6223680806450237,0.9555555555555556,21427.13953488372,37199.0,shared,12.0,2.0720474120566887,1.116279069507842,False
16,65.0,35.69230769230769,153.43076923076924,31,150,41,158,9.885783307182487,8.37228724596068,0.5317493912125402,0.9701492537313433,24020.092307692306,47750.0,shared,13.0,1.251623534740093,1.384615384402367,False
17,78.0,123.66666666666667,160.46153846153845,119,156,130,166,12.574593992066212,7.972786150715493,0.7733008656147047,0.9285714285714286,16066.73076923077,23798.0,488_only,,,,False
18,11.0,275.3636363636364,158.0909090909091,274,157,278,160,4.346129984141888,3.067356324605907,0.7084437526351621,1.0,15273.0,16109.0,488_only,,,,False
19,50.0,397.54,174.86,393,172,404,179,11.61699727926852,5.505104378072028,0.880587498739803,0.9259259259259259,11930.96,14839.0,488_only,,,,False
20,43.0,314.0232558139535,191.41860465116278,311,188,318,196,7.691712314125429,7.072851665842221,0.3929920045009381,0.9772727272727273,23156.720930232557,49500.0,shared,16.0,2.1900656788873296,1.6279069763656029,False
21,58.0,253.89655172413794,192.58620689655172,250,189,259,197,9.074496612919285,8.084762236791244,0.45413612227355804,0.9666666666666667,27339.91379310345,65535.0,shared,17.0,2.817034776997273,1.0689655170570749,False
22,39.0,158.89743589743588,197.25641025641025,156,194,163,201,7.620994379400474,6.514889452408358,0.5188573889717739,0.9069767441860465,17029.76923076923,30775.0,shared,18.0,1.4096658735673593,1.307692307357002,False
23,100.0,339.6,208.81,336,201,344,217,16.018030441868174,7.937575244580955,0.8685851030336709,0.9615384615384616,19726.72,31242.0,488_only,,,,False
24,72.0,194.625,212.0,190,208,200,217,10.163934058992885,8.993825042154693,0.4658259498372889,0.9230769230769231,17875.208333333332,29097.0,shared,19.0,1.7336893079661804,1.6805555553221452,False
25,50.0,2.76,220.88,0,217,7,226,8.785324361817757,7.3147847444508844,0.5538535879866676,0.9259259259259259,20773.54,32925.0,shared,20.0,1.6652380464904477,1.29999999974,False
26,50.0,230.46,258.26,227,255,235,263,8.785546617677632,7.2185158189625875,0.5700134417690371,0.9803921568627451,14149.66,18899.0,488_only,,,,False
27,30.0,45.733333333333334,259.7,43,257,49,264,6.571683406251507,5.8053308344044865,0.4686467633617007,0.9375,11426.4,13385.0,488_only,,,,False
28,76.0,9.078947368421053,265.13157894736844,4,261,15,270,10.877235646515663,8.875961784435322,0.5780340561479803,0.9382716049382716,24631.63157894737,50189.0,shared,21.0,1.9572801808558464,1.3157894735110804,False
29,82.0,406.3292682926829,283.2560975609756,403,277,411,290,13.85862525423219,7.514753630334507,0.8402211974249472,0.9647058823529412,18021.780487804877,30112.0,488_only,,,,False
30,90.0,153.73333333333332,319.9111111111111,149,315,160,326,11.570663452110018,9.9224769965539,0.5143927596195909,0.9574468085106383,27020.01111111111,59539.0,shared,23.0,1.3578451059709116,1.1111111109739369,False
31,68.0,358.0882352941176,344.54411764705884,354,340,363,350,10.070012229572091,8.5868074393669,0.5223834010768214,0.9444444444444444,20171.779411764706,32668.0,shared,24.0,2.042424182140501,1.6764705879887545,False
32,94.0,155.85106382978722,349.78723404255317,149,345,163,355,14.213045218193049,8.856751049458392,0.7821084032957274,0.8952380952380953,17407.531914893618,25550.0,488_only,,,,False
33,35.0,382.34285714285716,359.0571428571429,379,356,386,363,7.354186546092333,6.1024603135069695,0.5580697247356713,0.9722222222222222,17313.2,20160.0,488_only,,,,False
34,80.0,279.0625,363.15,275,359,285,369,10.27503240812697,10.010055395048544,0.22563649545253822,0.963855421686747,27800.525,65535.0,shared,27.0,2.1855503002805174,1.224999999846875,False
35,80.0,36.85,374.075,31,371,44,379,14.196896332353012,7.3210746839806005,0.856780452619371,0.9411764705882353,15648.1625,27300.0,shared,29.0,1.7791038359757931,1.3999999998250001,False
36,52.0,386.90384615384613,375.71153846153845,383,371,392,381,11.82095163478876,5.631064679990231,0.8792486770559803,0.9285714285714286,15277.615384615385,17903.0,488_only,,,,False
37,41.0,36.26829268292683,409.9024390243902,33,407,40,414,7.562613493454762,6.87451736391781,0.4167667839868258,0.9534883720930233,13500.146341463415,21697.0,shared,30.0,1.884553782044453,1.7560975605472933,False
38,28.0,296.0,413.67857142857144,294,411,299,417,6.507452556531642,5.451081150953975,0.5461806047563827,1.0,13455.82142857143,17682.0,shared,31.0,2.070698581102364,2.964285713227041,False
39,73.0,19.328767123287673,435.67123287671234,15,431,25,441,9.755579260246218,9.525740182652331,0.21578797931279672,0.9240506329113924,22826.164383561645,49337.0,shared,32.0,1.967159967650493,1.1506849313492213,False
40,53.0,312.50943396226415,440.4339622641509,309,437,318,445,9.05469044186439,7.547201415845268,0.5524999747908368,0.9298245614035088,15823.528301886792,18596.0,488_only,,,,False
41,61.0,275.4754098360656,440.57377049180326,270,438,283,444,12.798319756852779,6.052342800875931,0.8811153755494319,0.953125,16044.590163934427,22171.0,488_only,,,,False
42,29.0,195.13793103448276,470.58620689655174,193,468,199,474,6.341063442449138,5.829948411900614,0.39333316858172307,1.0,12884.724137931034,15059.0,488_only,,,,False
43,50.0,195.74,486.52,192,483,200,491,8.269409059807662,7.681723361432053,0.3702489586401449,0.9259259259259259,20842.5,39124.0,shared,36.0,1.3993657850410337,1.739999999652,False
44,102.0,337.0686274509804,510.69607843137254,331,506,345,516,14.404204230227561,9.333944208560059,0.7616391615827374,0.9444444444444444,16061.990196078432,18727.0,488_only,,,,False
45,66.0,61.93939393939394,529.030303030303,58,525,67,534,9.285987745597481,9.02521719708426,0.235320425899366,0.9565217391304348,21224.560606060608,42065.0,shared,37.0,1.3973081822227251,1.1363636361914602,False
46,74.0,270.13513513513516,538.7027027027027,266,534,275,544,10.245745935626882,9.16629903077767,0.44677895148499347,0.9866666666666667,33573.78378378379,65535.0,shared,38.0,1.9076947527922075,1.22972972956355,False
47,58.0,187.81034482758622,553.0344827586207,184,548,193,561,13.659981488347162,7.132975601683205,0.8528350093001057,0.7631578947368421,11408.775862068966,15159.0,488_only,,,,False
48,6.0,181.83333333333334,565.0,181,564,184,567,3.8297084310253524,1.8856180831641265,0.8703882797784892,0.8571428571428571,10585.833333333334,10652.0,488_only,,,,False
49,54.0,19.64814814814815,571.5555555555555,16,568,25,576,8.575203126468425,7.990189010326285,0.36302757700570654,0.9473684210526315,20277.703703703704,42681.0,shared,40.0,1.5427037142018798,1.2407407405109738,False
50,41.0,382.2682926829268,604.9024390243902,379,602,386,609,7.562613493454762,6.87451736391781,0.4167667839868258,0.9534883720930233,17367.414634146342,34929.0,shared,42.0,2.3836534365888133,1.6097560971683522,False
51,12.0,53.75,646.5,52,645,57,649,5.90407596419126,2.6093205390916836,0.8970385034061233,0.9230769230769231,9304.5,9763.0,488_only,,,,False
52,172.0,278.20348837209303,662.6802325581396,271,650,284,676,27.853403211491145,9.044134371572758,0.9458154035775348,0.819047619047619,21490.976744186046,57556.0,488_only,,,,False
53,29.0,376.82758620689657,658.7241379310345,374,656,380,663,6.683337180278179,5.507216806408211,0.5665578162809215,0.90625,15001.034482758621,23724.0,shared,44.0,2.1833670853167977,2.4827586198335316,False
54,42.0,78.92857142857143,661.952380952381,76,659,83,666,7.7742309135002525,6.818433758495899,0.4803886435488049,0.9767441860465116,17030.04761904762,31191.0,shared,46.0,1.3787184311786178,1.333333333015873,False
55,15.0,174.73333333333332,682.3333333333334,172,681,179,684,7.085786355383134,2.7705732566222903,0.9203888318302549,0.8823529411764706,24135.6,43803.0,shared,47.0,1.4391355429948205,1.6666666648148147,False
