object_class,x,y,640_label,488_label,in_640,in_488,distance,area_ratio,area_warning,area_640,area_488
640_only,340.17391304347825,46.0,7.0,,True,False,,,False,23.0,
640_only,271.19883040935673,143.0701754385965,10.0,,True,False,,,False,171.0,
640_only,120.175,159.05,14.0,,True,False,,,False,40.0,
640_only,402.5,174.4,15.0,,True,False,,,False,10.0,
640_only,32.0625,310.75,22.0,,True,False,,,False,64.0,
640_only,407.8780487804878,351.3292682926829,25.0,,True,False,,,False,82.0,
640_only,151.0,353.0,26.0,,True,False,,,False,65.0,
640_only,378.25,361.0,28.0,,True,False,,,False,4.0,
640_only,311.36,443.34,33.0,,True,False,,,False,100.0,
640_only,205.86885245901638,474.8196721311475,34.0,,True,False,,,False,61.0,
640_only,161.0487804878049,486.390243902439,35.0,,True,False,,,False,41.0,
640_only,184.85507246376812,551.4057971014493,39.0,,True,False,,,False,69.0,
640_only,257.9342105263158,584.828947368421,41.0,,True,False,,,False,76.0,
640_only,270.0,651.6470588235294,43.0,,True,False,,,False,17.0,
640_only,277.8888888888889,666.7195767195767,45.0,,True,False,,,False,189.0,
488_only,332.04761904761904,46.0,,7.0,False,True,,,False,,21.0
488_only,108.27272727272727,116.36363636363636,,10.0,False,True,,,False,,55.0
488_only,88.3157894736842,121.47368421052632,,11.0,False,True,,,False,,19.0
488_only,272.8789808917197,140.36305732484075,,12.0,False,True,,,False,,157.0
488_only,379.9318181818182,142.3181818181818,,14.0,False,True,,,False,,44.0
488_only,123.66666666666667,160.46153846153845,,17.0,False,True,,,False,,78.0
488_only,275.3636363636364,158.0909090909091,,18.0,False,True,,,False,,11.0
488_only,397.54,174.86,,19.0,False,True,,,False,,50.0
488_only,339.6,208.81,,23.0,False,True,,,False,,100.0
488_only,230.46,258.26,,26.0,False,True,,,False,,50.0
488_only,45.733333333333334,259.7,,27.0,False,True,,,False,,30.0
488_only,406.3292682926829,283.2560975609756,,29.0,False,True,,,False,,82.0
488_only,155.85106382978722,349.78723404255317,,32.0,False,True,,,False,,94.0
488_only,382.34285714285716,359.0571428571429,,33.0,False,True,,,False,,35.0
488_only,386.90384615384613,375.71153846153845,,36.0,False,True,,,False,,52.0
488_only,312.50943396226415,440.4339622641509,,40.0,False,True,,,False,,53.0
488_only,275.4754098360656,440.57377049180326,,41.0,False,True,,,False,,61.0
488_only,195.13793103448276,470.58620689655174,,42.0,False,True,,,False,,29.0
488_only,337.0686274509804,510.69607843137254,,44.0,False,True,,,False,,102.0
488_only,187.81034482758622,553.0344827586207,,47.0,False,True,,,False,,58.0
488_only,181.83333333333334,565.0,,48.0,False,True,,,False,,6.0
488_only,53.75,646.5,,51.0,False,True,,,False,,12.0
488_only,278.20348837209303,662.6802325581396,,52.0,False,True,,,False,,172.0
