in_640,in_488,major_length,minor_length,length_ratio,eccentricity,solidity,mean_intensity,max_intensity
True,True,9.712993718118552,3.801798442728979,2.5548418304885265,0.9202148363264211,0.9333333333333333,2037.25,2566.0
True,True,26.04119537045755,9.761132986938414,2.6678455645082786,0.9270918265019187,0.8949771689497716,2783.8469387755104,4540.0
True,True,11.077769651471707,9.99016014079717,1.1088680746111712,0.4321107783342279,0.9775280898876404,3057.67816091954,4199.0
True,True,14.810141933029934,9.696973633074165,1.5272952653230865,0.7558435696394671,0.923728813559322,2714.8348623853212,3977.0
True,True,14.634310925895855,8.564695082723762,1.7086785656069188,0.8108546527180908,0.9238095238095239,2349.762886597938,3456.0
True,True,18.42022097858132,10.43688094171773,1.7649162679727288,0.8239935925696452,0.8944099378881988,2321.8888888888887,3244.0
True,True,10.237379477426602,10.086150464665486,1.0149937285925859,0.17124911170422133,0.9529411764705882,2524.58024691358,3429.0
True,True,15.27229973050598,9.909568599292902,1.5411669602028957,0.760908695761401,0.9365079365079365,3349.2796610169494,6242.0
True,True,7.803030216254483,6.8993133225175605,1.1309864967978134,0.46713907340856453,0.9318181818181818,1537.560975609756,1981.0
True,True,9.767961822453548,8.745946355909163,1.1168559025845504,0.4453216743681451,0.9054054054054054,2489.7014925373132,3596.0
True,True,11.038789442041471,9.444615366319818,1.16879184616863,0.5176634419566614,0.9529411764705882,2403.1975308641977,3471.0
True,True,10.229734223189375,10.056629776875344,1.0172129669663235,0.1831858263618281,0.9529411764705882,2662.740740740741,3745.0
True,True,8.891637799272981,8.169828797313379,1.0883505651077365,0.3946731334420959,0.9661016949152542,2089.9824561403507,2557.0
True,True,20.186093221174605,12.981660736055641,1.5549700162444904,0.765782865865275,0.7804878048780488,2703.4,4206.0
True,True,14.92158114040395,9.16721143559721,1.6277121160514327,0.7890264310291867,0.9217391304347826,2261.896226415094,2939.0
True,True,10.335544544771377,9.598018003774788,1.0768415447791526,0.3709778033967841,0.9512195121951219,2736.9615384615386,3925.0
True,True,5.656854249492381,0.0,565685424.9492381,1.0,1.0,1749.6,1921.0
True,True,11.15332115808707,11.104124840772432,1.004430453365374,0.09382093427738664,0.9238095238095239,2642.2886597938145,3605.0
True,True,10.673567979656763,9.89137869665236,1.0790778814765578,0.37575961661234897,0.9111111111111111,2795.329268292683,3947.0
True,True,10.533296855470823,9.417642906797113,1.118464242967192,0.4479010785492917,0.9512195121951219,2524.2948717948716,3806.0
True,True,11.43137503675815,11.147684278314605,1.0254484017582843,0.2213997077383412,0.9433962264150944,3527.02,5491.0
True,True,14.401177801994821,9.552456488573293,1.5075889436550387,0.7483440441508352,0.9473684210526315,2609.185185185185,4033.0
True,True,9.249617809376856,8.110794646652415,1.1404083324671996,0.4807113509933804,0.9516129032258065,2099.813559322034,2678.0
True,True,11.045038958108982,9.07235952040946,1.217438409609687,0.5703571838127075,0.9753086419753086,2598.1518987341774,3615.0
True,True,10.40457336394046,8.432606493500161,1.2338502169669345,0.5857785607113569,0.9857142857142858,2789.1739130434785,4488.0
True,True,15.232791604434862,9.457561964016188,1.6106467656554198,0.7839146536878789,0.9491525423728814,2783.8839285714284,4260.0
True,True,13.405847697004809,8.144933202127229,1.6459125382445678,0.7942694276047767,0.9032258064516129,2160.9285714285716,3174.0
True,True,9.70438214048899,9.177771945499803,1.0573788701160323,0.3249395016589809,0.9333333333333333,2172.2571428571428,3008.0
True,True,10.84071950893649,10.47370975389964,1.0350410459436103,0.2579987193584551,0.9270833333333334,3541.14606741573,5391.0
True,True,10.983032379203648,9.972289257206855,1.1013551738135543,0.4190301756040482,0.9347826086956522,2994.6162790697676,4449.0
True,True,10.105630727038587,8.244073527012768,1.225805505211487,0.578348086019592,0.9701492537313433,1962.2,2535.0
True,True,10.690505966146553,8.793599900354085,1.2157143917315298,0.5686759905185893,0.961038961038961,2178.0,3356.0
True,True,17.85426440705757,10.651635889393406,1.6761992782793431,0.8025478340158332,0.8787878787878788,2571.6206896551726,4071.0
True,True,10.414281322502585,9.680940070498126,1.0757510361500682,0.36861257794752444,0.9518072289156626,2791.9367088607596,4242.0
True,True,17.57761340109248,8.526830945005845,2.0614473881147126,0.8744608715590867,0.873015873015873,1840.8454545454545,2707.0
True,True,10.536034119623553,9.690561646784374,1.0872470030926702,0.39249485238982174,0.9523809523809523,2291.9125,3317.0
True,True,19.344254155654863,10.663968419797774,1.8139826916218371,0.8343248083099907,0.9058823529411765,2330.0,3154.0
True,True,9.991397340453105,8.065344515780318,1.2388060185794036,0.5902385367654154,0.9264705882352942,2516.714285714286,3653.0
True,True,12.355148727726593,8.49355187024522,1.4546504103263196,0.7262313369296577,0.9310344827586207,1901.962962962963,2676.0
True,True,9.233857807488429,7.700767520468859,1.1990827889497695,0.5518086191177215,0.9482758620689655,1934.4545454545455,2704.0
True,True,10.266408161943314,10.009413741692551,1.025675270962528,0.22234765551871138,0.9411764705882353,2666.5375,3940.0
True,True,14.467235481043927,11.079885628291645,1.305720650314813,0.6430066432215255,0.9328358208955224,2879.544,4134.0
True,False,3.1269438398822857,2.309401076758503,1.3540063949096401,0.674199862463242,1.0,1400.0,1623.0
True,False,2.0,2.0,0.999999995,0.0,1.0,1479.25,1629.0
True,False,2.3094010767585034,1.3333333333333333,1.7320507945784966,0.816496580927726,1.0,1364.3333333333333,1413.0
True,False,2.8284271247461903,1.7320508075688772,1.632993152427362,0.7905694150420949,1.0,1425.25,1575.0
True,False,2.0,2.0,0.999999995,0.0,1.0,1419.25,1549.0
True,False,6.395202823409171,4.994455010054587,1.2804605903407005,0.6245698168704401,0.9259259259259259,1984.96,2749.0
True,False,14.069530981654857,9.142537425918787,1.538908763597633,0.7600957388789495,0.9423076923076923,2912.234693877551,4818.0
True,False,2.3094010767585034,1.3333333333333333,1.7320507945784966,0.816496580927726,1.0,1537.0,1545.0
True,False,16.923537036344705,9.41391309367916,1.7977154505208488,0.8310072671807526,0.8740740740740741,1989.8135593220338,3106.0
True,False,10.397264041510471,8.825572367365595,1.1780838224357773,0.5286562100042472,0.96,2141.1388888888887,3037.0
False,True,21.926708380833176,8.6430051932902,2.5369310633396545,0.9190345229755918,0.9358974358974359,31220.198630136987,63264.0
False,True,9.357835757245928,7.62010672749989,1.2280452334341154,0.5804410762445336,0.9152542372881356,13032.148148148148,19214.0
False,True,10.38143120513188,6.315406698563922,1.6438262307088285,0.7936789847008363,0.9074074074074074,16446.34693877551,35790.0
False,True,2.3094010767585034,1.3333333333333333,1.7320507945784966,0.816496580927726,1.0,8598.666666666666,9083.0
False,True,27.817112883124533,8.44267619756557,3.2948217128352413,0.9528293493429212,0.785,18129.490445859872,39427.0
False,True,20.17609492313506,7.455189625449273,2.7063154540292507,0.9292283149005933,0.8074074074074075,11342.743119266055,15177.0
False,True,8.021960346418997,6.048049282447927,1.3263715222089627,0.6569472168666559,0.9743589743589743,16253.78947368421,33697.0
False,True,27.348129828453988,8.591370920665458,3.183209065137605,0.9493738936014424,0.835820895522388,21762.029761904763,48807.0
False,True,21.246741268419008,8.502635258232504,2.4988418999696433,0.9164342095891725,0.8235294117647058,19167.222222222223,40548.0
True,True,13.607205404116485,8.532485549784615,1.5947528195359721,0.7789738392174822,0.9081632653061225,2377.1011235955057,3261.0
True,True,9.169245824196885,8.764234380895664,1.0462118440969526,0.2939221526814461,0.9402985074626866,2630.777777777778,3511.0
True,True,10.106277093860975,9.04629125798651,1.1171735238755351,0.44583313207385095,0.96,2777.625,3825.0
True,True,9.677852482601097,8.95355577099897,1.0808948667231417,0.37957893232577133,0.9066666666666666,2358.573529411765,3577.0
True,True,9.434110132706882,8.634590885152424,1.0925949181915866,0.40288118487555835,0.9411764705882353,2149.828125,2962.0
True,True,9.833300170212881,8.796526139468519,1.1178617562351023,0.44693787682602726,0.9577464788732394,2115.6911764705883,2833.0
True,True,10.1473405702744,8.748437164445486,1.1599032339073272,0.5066686264172157,0.9722222222222222,2763.285714285714,4142.0
True,True,9.823082868100576,8.843024623335635,1.1108283958715217,0.43541663454451895,0.918918918918919,2459.6617647058824,3475.0
True,True,10.998671634036826,9.704176553415275,1.1333956634199953,0.47067920860746043,0.9431818181818182,2762.5301204819275,3881.0
True,True,14.44713610305443,9.8327087120796,1.4692936108859822,0.732655977868128,0.9008264462809917,3405.761467889908,5090.0
True,True,10.653344829497769,9.555054453377446,1.1149433915138676,0.44222018462373447,0.9518072289156626,2367.5696202531644,3496.0
True,True,10.652508273167093,9.943550214848488,1.0712982820307932,0.35871575345796103,0.9325842696629213,2596.144578313253,3857.0
True,True,9.473480157211798,5.466550439803362,1.7329905292564471,0.8167178660865175,0.975609756097561,2177.2,2673.0
True,True,12.021609886557114,10.712855810630757,1.1221666834539084,0.45374177852840486,0.9528301886792453,3869.168316831683,6346.0
